attitude,deep,stra,surf,points
2.138043385,0.581570181,1.621993148,-2.27115727,1.398761416
0.619831826,1.632765108,-0.639204301,0.242828136,0.72144481
0.619831826,-0.019112635,1.137450838,0.399952224,0.382786506
-0.346302802,-0.019112635,-0.477690197,0.242828136,0.044128203
0.481812594,0.281228773,-0.477690197,-0.228544128,-0.2945301
1.171908757,-1.971331786,-2.254345336,0.399952224,0.72144481
0.481812594,-0.319454043,-1.123746611,-0.07142004,0.890773961
0.067754896,-1.070307563,0.652908527,0.557076311,0.044128203
-0.7603605,1.032082292,0.814422631,-0.542792303,-0.2945301
-1.588475895,-0.920136859,1.137450838,-0.857040479,0.382786506
-0.622341267,-1.070307563,0.006852113,0.399952224,-1.987821616
0.067754896,0.881911589,0.168366217,0.399952224,-0.633188403
0.205774129,-2.572014602,-1.285260715,2.285441278,0.213457355
1.033889524,-0.619795451,-0.316176094,0.871324487,0.890773961
0.205774129,-1.070307563,-2.092831232,1.342696751,-0.2945301
-0.208283569,-1.670990378,-0.800718404,1.342696751,0.213457355
0.757851059,-0.769966155,0.168366217,1.971193102,0.213457355
-0.898379732,0.581570181,0.652908527,0.242828136,-0.463859252
-0.346302802,-0.169283339,0.975936734,-1.171288655,-0.633188403
1.033889524,0.731740885,0.975936734,-2.114033182,1.229432264
0.619831826,1.032082292,-0.962232508,-1.328412743,-0.125200948
-0.346302802,-0.469624747,-0.15466199,0.085704048,-1.141175858
-1.450456663,-1.070307563,0.32988032,1.185572663,-1.141175858
-0.070264337,-0.319454043,-0.477690197,1.028448575,-0.633188403
1.171908757,-0.019112635,1.783507252,-0.385668216,1.229432264
-0.070264337,1.032082292,-0.639204301,0.085704048,0.044128203
-1.174418197,1.032082292,-0.477690197,1.028448575,-0.633188403
-0.484322034,0.281228773,0.168366217,0.399952224,-0.802517555
0.757851059,1.3324237,1.298964941,-0.385668216,0.890773961
-0.7603605,-0.319454043,0.32988032,-0.699916391,-0.2945301
-1.036398965,-0.169283339,-0.477690197,1.499820838,-0.633188403
-0.208283569,-0.019112635,1.298964941,-1.328412743,0.72144481
-0.484322034,-2.87235601,0.168366217,2.913937629,0.213457355
-0.346302802,1.032082292,-0.316176094,-0.228544128,-0.2945301
-1.036398965,-0.169283339,-0.316176094,0.399952224,-0.463859252
-0.070264337,0.581570181,-0.962232508,-0.228544128,0.890773961
-1.726495128,-0.619795451,0.975936734,-1.171288655,-1.818492464
-1.588475895,-0.319454043,-1.285260715,-0.228544128,-0.2945301
0.895870292,-0.920136859,1.137450838,-1.014164567,0.890773961
0.343793361,-0.169283339,0.168366217,-0.228544128,1.398761416
0.757851059,-0.469624747,-0.639204301,1.028448575,-0.802517555
-0.346302802,1.032082292,-0.477690197,1.342696751,0.382786506
-1.174418197,-0.769966155,1.137450838,-0.07142004,-0.633188403
1.309927989,1.3324237,-0.15466199,-1.48553683,-0.2945301
-0.622341267,-0.769966155,0.32988032,0.085704048,-1.141175858
0.481812594,0.431399477,0.975936734,1.342696751,-2.665138222
0.343793361,-0.169283339,0.168366217,-0.542792303,-0.2945301
0.067754896,1.482594404,0.32988032,0.714200399,-0.971846706
0.205774129,-0.169283339,1.298964941,0.557076311,-0.125200948
0.205774129,-0.019112635,0.491394424,0.242828136,-0.802517555
0.481812594,-1.971331786,-1.446774818,0.714200399,0.382786506
0.067754896,0.881911589,0.652908527,-0.542792303,0.213457355
-0.070264337,-0.769966155,0.32988032,1.971193102,0.044128203
-0.484322034,1.182252996,-1.285260715,-1.014164567,0.044128203
-2.002533593,0.431399477,1.945021355,1.185572663,0.552115658
-1.726495128,-1.821161082,-0.800718404,1.814069014,-1.818492464
0.481812594,-1.070307563,-0.316176094,0.399952224,1.568090568
-1.036398965,0.131058069,-0.477690197,-0.385668216,-0.125200948
-1.450456663,0.881911589,1.137450838,1.028448575,-0.463859252
-0.346302802,0.881911589,-0.962232508,0.085704048,-0.2945301
-1.726495128,-0.769966155,0.975936734,0.399952224,0.044128203
-1.588475895,0.731740885,0.32988032,0.085704048,-0.463859252
1.447947222,-1.37064897,-1.769803025,0.714200399,0.890773961
1.309927989,0.281228773,-0.15466199,-0.07142004,1.398761416
0.757851059,-0.920136859,-0.639204301,1.185572663,-0.802517555
0.619831826,-0.469624747,-0.639204301,0.399952224,1.229432264
